Time from Pickup to Arrival,Order No
1566,Order_No_12336
1266,Order_No_12293
1019,Order_No_6103
419,Order_No_25920
488,Order_No_2159
337,Order_No_13215
1973,Order_No_15620
361,Order_No_27406
1879,Order_No_3092
1232,Order_No_21088
1626,Order_No_6448
1343,Order_No_23769
1024,Order_No_2640
1467,Order_No_19108
1545,Order_No_2796
1906,Order_No_16473
3206,Order_No_2754
1134,Order_No_2678
3494,Order_No_12053
1289,Order_No_17071
1264,Order_No_4656
1615,Order_No_27607
2096,Order_No_6709
827,Order_No_25036
1197,Order_No_16694
1416,Order_No_24366
1470,Order_No_9590
1432,Order_No_5658
282,Order_No_13152
2028,Order_No_27538
820,Order_No_2782
-605,Order_No_1311
2127,Order_No_10249
2308,Order_No_2624
1973,Order_No_27601
2554,Order_No_4252
1812,Order_No_22149
3452,Order_No_2699
3141,Order_No_12371
939,Order_No_14848
886,Order_No_10438
1856,Order_No_23513
1108,Order_No_9878
1378,Order_No_9218
1631,Order_No_28256
840,Order_No_25676
1955,Order_No_26922
867,Order_No_7589
208,Order_No_124
2232,Order_No_14779
1197,Order_No_26218
1310,Order_No_19977
1580,Order_No_14440
858,Order_No_9561
1328,Order_No_9009
1040,Order_No_20146
1714,Order_No_7718
749,Order_No_16083
517,Order_No_3126
2183,Order_No_801
1163,Order_No_5373
751,Order_No_7421
2180,Order_No_602
2118,Order_No_9418
1837,Order_No_27144
109,Order_No_16792
1387,Order_No_21252
1417,Order_No_21129
3171,Order_No_18774
1400,Order_No_20974
741,Order_No_5267
936,Order_No_25107
2345,Order_No_611
2673,Order_No_13596
268,Order_No_465
2730,Order_No_2236
999,Order_No_3411
806,Order_No_17613
2753,Order_No_27381
3456,Order_No_26072
1151,Order_No_19414
1183,Order_No_21954
1578,Order_No_22538
2001,Order_No_10756
2305,Order_No_23756
2351,Order_No_3807
1740,Order_No_18694
1034,Order_No_27245
648,Order_No_12437
687,Order_No_27751
836,Order_No_22832
921,Order_No_3904
370,Order_No_5230
930,Order_No_13968
458,Order_No_23129
1765,Order_No_25454
896,Order_No_25963
631,Order_No_13552
171,Order_No_2495
1351,Order_No_5081
2260,Order_No_2922
1430,Order_No_2016
1589,Order_No_1104
581,Order_No_27980
2547,Order_No_26414
2789,Order_No_22882
2933,Order_No_18730
2467,Order_No_22573
1282,Order_No_3483
1507,Order_No_23613
1481,Order_No_13591
1553,Order_No_11271
1341,Order_No_26896
646,Order_No_8184
848,Order_No_19027
1841,Order_No_1146
1021,Order_No_192
996,Order_No_14758
631,Order_No_23931
733,Order_No_9924
2026,Order_No_21201
438,Order_No_12726
997,Order_No_25899
1428,Order_No_26621
1467,Order_No_17483
1774,Order_No_2943
776,Order_No_6923
3394,Order_No_181
2078,Order_No_19543
463,Order_No_11022
2124,Order_No_16940
993,Order_No_22316
1501,Order_No_24662
4725,Order_No_7034
1885,Order_No_13090
1158,Order_No_761
1870,Order_No_25720
1811,Order_No_12467
134,Order_No_16527
1365,Order_No_15886
1032,Order_No_14129
4290,Order_No_22079
1437,Order_No_9552
207,Order_No_28093
1781,Order_No_3167
1317,Order_No_18111
1801,Order_No_10981
1998,Order_No_17959
-342,Order_No_19855
1173,Order_No_21278
2870,Order_No_5819
979,Order_No_26651
933,Order_No_6273
74,Order_No_15656
1775,Order_No_22
1911,Order_No_17367
1343,Order_No_257
2952,Order_No_15175
2598,Order_No_546
646,Order_No_20915
657,Order_No_22885
1612,Order_No_4613
1410,Order_No_5473
265,Order_No_4698
1828,Order_No_5638
1848,Order_No_20471
1185,Order_No_17954
2558,Order_No_14468
1878,Order_No_2968
1075,Order_No_24419
2677,Order_No_7674
457,Order_No_26560
233,Order_No_15611
2303,Order_No_15085
2262,Order_No_1440
2211,Order_No_18237
1781,Order_No_8092
1527,Order_No_529
1979,Order_No_22717
1309,Order_No_3509
1364,Order_No_26201
1260,Order_No_20497
1743,Order_No_12558
1050,Order_No_23463
2024,Order_No_18978
2031,Order_No_5508
623,Order_No_11317
129,Order_No_13632
1096,Order_No_3751
3055,Order_No_27592
1931,Order_No_25276
2413,Order_No_18188
1930,Order_No_27593
1323,Order_No_2022
413,Order_No_4713
1328,Order_No_23001
1878,Order_No_9222
1687,Order_No_3417
1008,Order_No_3133
1075,Order_No_1571
1939,Order_No_14300
1484,Order_No_4825
1923,Order_No_26248
981,Order_No_22868
1213,Order_No_793
1804,Order_No_891
1104,Order_No_6505
1490,Order_No_12415
1820,Order_No_5850
1659,Order_No_12144
2819,Order_No_7476
2426,Order_No_20096
2050,Order_No_13743
2194,Order_No_4724
2409,Order_No_13814
820,Order_No_15469
2915,Order_No_5324
2223,Order_No_11383
1787,Order_No_11795
3053,Order_No_28131
1912,Order_No_9343
1286,Order_No_14195
1504,Order_No_2454
898,Order_No_26609
1867,Order_No_28252
3530,Order_No_23205
1265,Order_No_9462
2747,Order_No_5007
2127,Order_No_19715
1386,Order_No_18543
427,Order_No_4723
2566,Order_No_8211
1592,Order_No_20360
3698,Order_No_24462
1448,Order_No_25386
2579,Order_No_26627
2204,Order_No_26824
1432,Order_No_16072
1483,Order_No_26274
2108,Order_No_24873
549,Order_No_2196
2659,Order_No_6178
1564,Order_No_4860
2938,Order_No_15161
1992,Order_No_17712
2329,Order_No_19520
2340,Order_No_1723
751,Order_No_8405
1499,Order_No_15590
2997,Order_No_19280
1357,Order_No_19525
1529,Order_No_12356
1947,Order_No_22797
1912,Order_No_14572
1625,Order_No_24329
2093,Order_No_8204
2163,Order_No_24862
1705,Order_No_7993
1011,Order_No_25182
2168,Order_No_26175
1270,Order_No_22936
1289,Order_No_9627
1060,Order_No_21478
1281,Order_No_2713
1268,Order_No_12912
2145,Order_No_9733
970,Order_No_27705
1314,Order_No_24072
52,Order_No_6066
3676,Order_No_23990
1338,Order_No_15876
1143,Order_No_9212
1556,Order_No_11773
2357,Order_No_17001
2293,Order_No_19824
1363,Order_No_7583
1662,Order_No_23644
1859,Order_No_27423
2133,Order_No_1309
576,Order_No_5014
1963,Order_No_27602
1327,Order_No_2683
173,Order_No_16570
856,Order_No_5495
1111,Order_No_11062
502,Order_No_15357
1212,Order_No_20901
2164,Order_No_3808
2732,Order_No_25818
504,Order_No_3542
2039,Order_No_22955
6433,Order_No_5028
1207,Order_No_13893
872,Order_No_16106
3111,Order_No_7035
1237,Order_No_23600
2949,Order_No_10096
1937,Order_No_4422
-63,Order_No_10341
1343,Order_No_4605
749,Order_No_25427
1312,Order_No_860
381,Order_No_11938
1577,Order_No_13777
216,Order_No_19433
980,Order_No_7271
1649,Order_No_3128
1778,Order_No_24648
847,Order_No_7965
4381,Order_No_23539
1593,Order_No_620
1782,Order_No_16350
606,Order_No_13676
656,Order_No_20882
1832,Order_No_3166
1076,Order_No_3996
895,Order_No_13507
1976,Order_No_6049
1239,Order_No_11012
1840,Order_No_7826
1104,Order_No_11432
1542,Order_No_23548
784,Order_No_7735
790,Order_No_2526
1218,Order_No_2752
1648,Order_No_9824
3670,Order_No_1993
1021,Order_No_715
1159,Order_No_287
3215,Order_No_13954
998,Order_No_25369
793,Order_No_21794
1867,Order_No_23016
1217,Order_No_27703
2102,Order_No_22610
367,Order_No_26104
2322,Order_No_9200
207,Order_No_3963
1495,Order_No_24998
966,Order_No_24952
1897,Order_No_16235
1015,Order_No_15692
1952,Order_No_1732
1276,Order_No_13963
497,Order_No_25436
754,Order_No_12173
2303,Order_No_8096
315,Order_No_16354
1875,Order_No_4998
550,Order_No_19767
690,Order_No_17583
220,Order_No_20165
2119,Order_No_27413
370,Order_No_18577
2400,Order_No_27366
1777,Order_No_2182
1271,Order_No_23384
1624,Order_No_23544
1617,Order_No_25780
1343,Order_No_24473
1466,Order_No_1017
433,Order_No_4219
1717,Order_No_26712
1386,Order_No_12769
2170,Order_No_23300
1083,Order_No_12204
515,Order_No_15798
1635,Order_No_22980
133,Order_No_7451
1031,Order_No_22233
1651,Order_No_21329
1523,Order_No_3821
979,Order_No_15311
1589,Order_No_2634
1131,Order_No_13267
1741,Order_No_18825
388,Order_No_1226
1224,Order_No_23290
1267,Order_No_5187
2394,Order_No_24109
1289,Order_No_20780
862,Order_No_21195
1322,Order_No_20277
1084,Order_No_25197
588,Order_No_4300
2174,Order_No_8640
2886,Order_No_7512
3490,Order_No_1820
3535,Order_No_18556
1038,Order_No_23927
1310,Order_No_8005
2498,Order_No_2549
351,Order_No_27750
-283,Order_No_24292
3749,Order_No_6218
723,Order_No_26297
2681,Order_No_26382
-229,Order_No_2933
3822,Order_No_1643
1470,Order_No_1795
655,Order_No_19055
1733,Order_No_16755
1322,Order_No_7552
1449,Order_No_954
447,Order_No_13396
1119,Order_No_272
1075,Order_No_7526
1604,Order_No_7639
696,Order_No_362
3291,Order_No_11265
1610,Order_No_19991
1833,Order_No_2898
1914,Order_No_24041
1678,Order_No_9306
3182,Order_No_24256
1327,Order_No_3358
2333,Order_No_18458
691,Order_No_24037
1417,Order_No_21745
1650,Order_No_24791
612,Order_No_6329
131,Order_No_8694
765,Order_No_27757
2455,Order_No_4758
1468,Order_No_14631
1179,Order_No_3434
1746,Order_No_13846
1488,Order_No_12622
1252,Order_No_9441
3371,Order_No_90
3216,Order_No_7946
1992,Order_No_1197
1514,Order_No_1201
2331,Order_No_23299
1490,Order_No_21272
1056,Order_No_23873
1022,Order_No_12427
2726,Order_No_22203
1283,Order_No_18445
1186,Order_No_26717
741,Order_No_22256
2448,Order_No_18400
1428,Order_No_9350
537,Order_No_19162
1736,Order_No_14922
2309,Order_No_2131
1627,Order_No_23408
1633,Order_No_2149
1762,Order_No_10310
1544,Order_No_8168
813,Order_No_2601
2284,Order_No_13698
1029,Order_No_26624
1193,Order_No_27107
1447,Order_No_5323
376,Order_No_22269
1209,Order_No_21736
1210,Order_No_11521
913,Order_No_22671
376,Order_No_7912
1128,Order_No_5344
839,Order_No_21928
576,Order_No_7074
2287,Order_No_13915
2579,Order_No_24101
1209,Order_No_18299
-466,Order_No_15816
2360,Order_No_24483
312,Order_No_20072
3680,Order_No_14156
414,Order_No_18214
1733,Order_No_18224
767,Order_No_11799
516,Order_No_22357
2054,Order_No_25600
494,Order_No_8407
1206,Order_No_6064
854,Order_No_6036
1417,Order_No_9128
1211,Order_No_1426
1053,Order_No_19831
3068,Order_No_28105
2576,Order_No_24585
3333,Order_No_23807
1063,Order_No_24697
1256,Order_No_19103
2861,Order_No_6192
1412,Order_No_24346
1470,Order_No_9862
2111,Order_No_24734
1120,Order_No_18189
1125,Order_No_27172
1462,Order_No_14011
3131,Order_No_20671
2114,Order_No_17099
2067,Order_No_22897
1806,Order_No_22494
1097,Order_No_4077
1400,Order_No_21220
1358,Order_No_13220
2446,Order_No_19174
1029,Order_No_18713
-457,Order_No_21298
893,Order_No_10814
765,Order_No_23640
882,Order_No_12642
4389,Order_No_14796
1341,Order_No_6235
2483,Order_No_17745
2963,Order_No_22977
1630,Order_No_13495
-56,Order_No_28033
682,Order_No_2273
2704,Order_No_22178
2103,Order_No_23625
2449,Order_No_10849
631,Order_No_26443
2415,Order_No_20259
705,Order_No_15020
1964,Order_No_20222
663,Order_No_1227
1768,Order_No_14684
1261,Order_No_7219
1257,Order_No_23991
1546,Order_No_3544
1777,Order_No_12140
1457,Order_No_16428
1842,Order_No_24237
2552,Order_No_20812
1549,Order_No_17969
1381,Order_No_7106
1913,Order_No_25181
2240,Order_No_20059
2197,Order_No_11464
732,Order_No_19530
1031,Order_No_7266
1889,Order_No_14776
845,Order_No_8187
1238,Order_No_11058
1546,Order_No_24929
2168,Order_No_14431
896,Order_No_23643
731,Order_No_5633
1096,Order_No_21622
1714,Order_No_1008
2674,Order_No_8970
49,Order_No_16328
916,Order_No_5604
1757,Order_No_23474
2005,Order_No_10688
30,Order_No_18491
2466,Order_No_20857
1237,Order_No_28176
1387,Order_No_13933
1425,Order_No_21397
1392,Order_No_27085
2555,Order_No_9860
1716,Order_No_19842
1508,Order_No_2690
1127,Order_No_13189
1409,Order_No_21567
923,Order_No_26409
1246,Order_No_13863
1072,Order_No_4153
1643,Order_No_27691
1785,Order_No_11007
1905,Order_No_22244
1435,Order_No_1004
1693,Order_No_27383
1643,Order_No_2127
2691,Order_No_18020
993,Order_No_8516
1776,Order_No_10405
1342,Order_No_1078
1785,Order_No_11513
883,Order_No_12856
-57,Order_No_11810
1493,Order_No_23272
465,Order_No_20209
1697,Order_No_12748
1115,Order_No_12539
1619,Order_No_5529
443,Order_No_2518
363,Order_No_21137
1331,Order_No_27969
1661,Order_No_23008
980,Order_No_5583
2564,Order_No_4761
1959,Order_No_9669
1681,Order_No_24806
1505,Order_No_18985
2501,Order_No_12565
468,Order_No_9560
65,Order_No_18862
3104,Order_No_4922
762,Order_No_21441
1818,Order_No_9159
2218,Order_No_9022
1262,Order_No_27049
2126,Order_No_26486
2108,Order_No_4097
465,Order_No_23139
338,Order_No_25363
1229,Order_No_26892
1505,Order_No_3469
766,Order_No_23231
2236,Order_No_15424
2668,Order_No_19610
-928,Order_No_24926
652,Order_No_637
1044,Order_No_27648
2411,Order_No_25227
1783,Order_No_9982
1510,Order_No_4345
1119,Order_No_8175
957,Order_No_2570
1365,Order_No_3236
1108,Order_No_19276
1778,Order_No_3115
2861,Order_No_2920
2348,Order_No_25352
510,Order_No_27839
1311,Order_No_9256
1691,Order_No_482
835,Order_No_13576
3034,Order_No_19782
868,Order_No_22117
1363,Order_No_3924
1819,Order_No_16930
958,Order_No_9752
461,Order_No_18856
2296,Order_No_1465
2198,Order_No_2207
962,Order_No_26647
2909,Order_No_9598
2238,Order_No_6136
2841,Order_No_20868
1328,Order_No_11640
1723,Order_No_21036
2316,Order_No_9937
1605,Order_No_1938
872,Order_No_14352
1939,Order_No_8111
310,Order_No_1288
2564,Order_No_17199
2242,Order_No_24205
2153,Order_No_15545
918,Order_No_8149
2533,Order_No_10383
1608,Order_No_7098
1750,Order_No_13355
2081,Order_No_26792
2922,Order_No_13673
1668,Order_No_19983
1427,Order_No_23886
425,Order_No_17985
925,Order_No_13813
1828,Order_No_21233
387,Order_No_40
1235,Order_No_15654
1211,Order_No_24330
2024,Order_No_6840
2068,Order_No_19400
2180,Order_No_6424
2136,Order_No_0
1640,Order_No_1948
504,Order_No_14959
-145,Order_No_15036
1675,Order_No_6783
1086,Order_No_19301
1454,Order_No_19236
1059,Order_No_20758
605,Order_No_20276
582,Order_No_23465
1292,Order_No_23480
2325,Order_No_10219
758,Order_No_23825
1720,Order_No_21537
932,Order_No_14307
2242,Order_No_12599
857,Order_No_20086
1889,Order_No_16151
384,Order_No_19898
738,Order_No_5079
2599,Order_No_5214
3628,Order_No_2073
1379,Order_No_9998
1660,Order_No_7108
2083,Order_No_15679
840,Order_No_24154
1563,Order_No_22713
1081,Order_No_11668
2709,Order_No_4660
1293,Order_No_14109
1903,Order_No_25088
567,Order_No_16572
2321,Order_No_10080
1858,Order_No_3932
1258,Order_No_18616
5316,Order_No_19394
306,Order_No_16721
1698,Order_No_24724
2472,Order_No_11295
1627,Order_No_9978
597,Order_No_26105
2738,Order_No_1112
5243,Order_No_18747
2466,Order_No_21720
782,Order_No_152
3074,Order_No_26186
3390,Order_No_12831
785,Order_No_13821
2034,Order_No_653
339,Order_No_5489
1587,Order_No_17245
2153,Order_No_22849
828,Order_No_19745
1932,Order_No_20148
526,Order_No_20574
1996,Order_No_459
901,Order_No_14453
2087,Order_No_1356
682,Order_No_15141
2254,Order_No_25880
1697,Order_No_25118
1409,Order_No_12977
1111,Order_No_6639
203,Order_No_19810
2251,Order_No_17504
2943,Order_No_399
1926,Order_No_13027
2809,Order_No_7193
1155,Order_No_1115
2225,Order_No_14790
1022,Order_No_27724
4622,Order_No_15235
1558,Order_No_24075
1753,Order_No_18672
1867,Order_No_7833
2031,Order_No_9084
563,Order_No_11596
1735,Order_No_10977
595,Order_No_7261
1847,Order_No_380
2793,Order_No_17369
1618,Order_No_22984
1069,Order_No_21905
291,Order_No_15515
188,Order_No_15426
2296,Order_No_6549
2387,Order_No_15238
1954,Order_No_2433
2179,Order_No_18083
-7,Order_No_9621
2210,Order_No_8499
2265,Order_No_9073
2532,Order_No_12853
3542,Order_No_23266
1423,Order_No_14405
365,Order_No_18499
458,Order_No_23493
2038,Order_No_7079
3273,Order_No_4182
1461,Order_No_25009
1308,Order_No_8196
2016,Order_No_2274
2105,Order_No_26935
2183,Order_No_1237
5106,Order_No_8924
963,Order_No_26255
2282,Order_No_20995
1563,Order_No_22833
2842,Order_No_7180
1090,Order_No_9866
312,Order_No_26778
1316,Order_No_22857
2082,Order_No_22660
2069,Order_No_14475
919,Order_No_14799
332,Order_No_12813
309,Order_No_7786
830,Order_No_15245
521,Order_No_25049
1105,Order_No_23161
930,Order_No_16300
1275,Order_No_24973
884,Order_No_13485
1477,Order_No_21191
2949,Order_No_1929
1913,Order_No_8098
2516,Order_No_5939
1533,Order_No_13578
1525,Order_No_7347
1249,Order_No_3494
1394,Order_No_19007
1405,Order_No_9769
2774,Order_No_26436
1393,Order_No_25480
1207,Order_No_23237
1057,Order_No_20579
1965,Order_No_28243
203,Order_No_2832
888,Order_No_3870
2804,Order_No_17832
1942,Order_No_5740
1519,Order_No_17103
1264,Order_No_27825
3663,Order_No_13786
854,Order_No_24974
373,Order_No_11769
1030,Order_No_18513
372,Order_No_1776
384,Order_No_23230
1026,Order_No_7645
1682,Order_No_10130
530,Order_No_19147
1572,Order_No_27116
2100,Order_No_21929
1430,Order_No_21672
1549,Order_No_14929
2319,Order_No_11808
2194,Order_No_26156
1336,Order_No_6908
338,Order_No_19807
554,Order_No_12880
3395,Order_No_1547
668,Order_No_10387
294,Order_No_20876
1053,Order_No_8864
1307,Order_No_23664
2213,Order_No_12351
1226,Order_No_21917
297,Order_No_11517
1889,Order_No_25755
1118,Order_No_1924
362,Order_No_10052
1732,Order_No_15623
4108,Order_No_5801
1788,Order_No_1677
1600,Order_No_14791
1166,Order_No_10311
1723,Order_No_9095
1581,Order_No_20212
1240,Order_No_4631
399,Order_No_27983
1268,Order_No_23690
2090,Order_No_9896
424,Order_No_6419
2655,Order_No_27099
1399,Order_No_27128
1399,Order_No_8329
545,Order_No_25476
2426,Order_No_25575
239,Order_No_27199
2805,Order_No_6579
1105,Order_No_26967
-1973,Order_No_11280
912,Order_No_10660
1039,Order_No_20723
756,Order_No_16228
1306,Order_No_3188
1673,Order_No_867
857,Order_No_18462
1919,Order_No_20644
603,Order_No_22927
1555,Order_No_27202
1394,Order_No_12583
2487,Order_No_9729
-117,Order_No_3328
2505,Order_No_8953
1188,Order_No_3074
3234,Order_No_20197
2732,Order_No_17047
1562,Order_No_25090
1777,Order_No_21314
1533,Order_No_10722
1792,Order_No_15717
2894,Order_No_23711
1778,Order_No_21659
2269,Order_No_20441
1090,Order_No_24581
1014,Order_No_6179
1507,Order_No_20815
370,Order_No_2344
2059,Order_No_12902
135,Order_No_135
-708,Order_No_26580
866,Order_No_1751
1523,Order_No_9709
1330,Order_No_2501
408,Order_No_17871
-147,Order_No_21452
1919,Order_No_7297
1722,Order_No_20542
1308,Order_No_1513
1932,Order_No_21071
1631,Order_No_24692
2575,Order_No_4871
1723,Order_No_7987
1324,Order_No_4878
1301,Order_No_26159
2288,Order_No_13162
1782,Order_No_519
650,Order_No_21050
1061,Order_No_17446
190,Order_No_9092
1570,Order_No_16340
2023,Order_No_21913
2324,Order_No_23243
994,Order_No_23589
1940,Order_No_11532
1684,Order_No_21139
1734,Order_No_15387
144,Order_No_5735
1783,Order_No_1905
288,Order_No_27442
1871,Order_No_3439
1371,Order_No_2544
2071,Order_No_11152
1891,Order_No_27198
2490,Order_No_19472
1530,Order_No_13493
1798,Order_No_26088
669,Order_No_10716
512,Order_No_11549
1194,Order_No_3190
2103,Order_No_16876
3694,Order_No_16581
1240,Order_No_15873
2442,Order_No_16172
2710,Order_No_3225
1205,Order_No_17034
1290,Order_No_8072
1275,Order_No_6325
1696,Order_No_16052
1116,Order_No_4548
-101,Order_No_14533
2793,Order_No_1047
874,Order_No_17723
161,Order_No_6384
2169,Order_No_3254
1063,Order_No_1550
1137,Order_No_5515
1572,Order_No_25797
1119,Order_No_7796
3695,Order_No_27018
805,Order_No_153
309,Order_No_16842
1644,Order_No_24311
1856,Order_No_21793
1889,Order_No_15812
1746,Order_No_26485
356,Order_No_4556
2878,Order_No_23866
1923,Order_No_13417
4212,Order_No_665
1072,Order_No_24545
2252,Order_No_18576
1498,Order_No_25287
3122,Order_No_26576
568,Order_No_17256
2991,Order_No_20509
1949,Order_No_17571
2125,Order_No_15252
1866,Order_No_9281
2131,Order_No_3262
717,Order_No_2862
-651,Order_No_15958
549,Order_No_20407
2079,Order_No_15905
776,Order_No_12253
1235,Order_No_12165
1352,Order_No_13898
2258,Order_No_11610
1095,Order_No_24236
698,Order_No_25686
982,Order_No_14275
1117,Order_No_13650
739,Order_No_13988
1842,Order_No_19222
1452,Order_No_8101
1951,Order_No_16333
1598,Order_No_20627
1746,Order_No_12632
2194,Order_No_21619
2357,Order_No_3357
1952,Order_No_12786
1283,Order_No_8308
2216,Order_No_22219
-315,Order_No_425
1266,Order_No_26354
2841,Order_No_896
1158,Order_No_11186
2019,Order_No_14327
1687,Order_No_437
1315,Order_No_1589
981,Order_No_2123
2969,Order_No_19098
1037,Order_No_23303
309,Order_No_27684
1541,Order_No_14934
2872,Order_No_8441
178,Order_No_21179
1488,Order_No_8065
1489,Order_No_468
2719,Order_No_5643
1075,Order_No_6875
861,Order_No_7690
1284,Order_No_15253
995,Order_No_26158
572,Order_No_7184
1464,Order_No_7739
1115,Order_No_18512
390,Order_No_4411
1607,Order_No_11947
171,Order_No_1417
2109,Order_No_17665
834,Order_No_19285
2150,Order_No_26308
1824,Order_No_3346
1582,Order_No_4984
2022,Order_No_3973
1517,Order_No_14674
1450,Order_No_2824
1608,Order_No_12313
1416,Order_No_18473
3008,Order_No_25161
2302,Order_No_2575
1477,Order_No_16388
1552,Order_No_22068
1061,Order_No_9208
2783,Order_No_22990
1699,Order_No_27988
511,Order_No_19215
1140,Order_No_23724
1086,Order_No_23391
2386,Order_No_19100
2554,Order_No_24122
2050,Order_No_25785
2115,Order_No_1863
3078,Order_No_26690
1740,Order_No_3189
1625,Order_No_13585
1062,Order_No_27736
2119,Order_No_20985
976,Order_No_14650
-36,Order_No_21115
2672,Order_No_27557
859,Order_No_21906
1385,Order_No_22384
3388,Order_No_21003
994,Order_No_14464
1326,Order_No_23829
2333,Order_No_20218
2122,Order_No_21009
2054,Order_No_12703
1564,Order_No_11229
1108,Order_No_13987
1715,Order_No_9712
980,Order_No_15445
3675,Order_No_9357
1544,Order_No_6641
183,Order_No_9329
2472,Order_No_24367
3564,Order_No_15988
-578,Order_No_21290
1173,Order_No_7323
2608,Order_No_2471
829,Order_No_5882
1279,Order_No_10957
3023,Order_No_17248
1613,Order_No_4755
1578,Order_No_19623
-165,Order_No_9938
1380,Order_No_26495
835,Order_No_20975
905,Order_No_14295
812,Order_No_20580
1038,Order_No_22794
1329,Order_No_18333
3282,Order_No_17846
1316,Order_No_16257
882,Order_No_1443
1603,Order_No_11399
2247,Order_No_9556
844,Order_No_12193
1755,Order_No_19480
453,Order_No_4977
1696,Order_No_14586
458,Order_No_2467
3016,Order_No_20524
650,Order_No_21678
719,Order_No_9087
1000,Order_No_296
115,Order_No_2921
657,Order_No_8321
1254,Order_No_15014
2236,Order_No_25269
2215,Order_No_23934
1829,Order_No_22632
2421,Order_No_11188
1518,Order_No_16625
2716,Order_No_18759
1716,Order_No_11601
1447,Order_No_5374
675,Order_No_23793
3741,Order_No_3220
1255,Order_No_13735
1668,Order_No_20650
1332,Order_No_11935
1979,Order_No_18160
1604,Order_No_28005
1067,Order_No_17016
2483,Order_No_1366
337,Order_No_14378
763,Order_No_22021
2566,Order_No_18105
1104,Order_No_15108
2759,Order_No_21570
1392,Order_No_8701
952,Order_No_14006
2563,Order_No_9266
3002,Order_No_9731
178,Order_No_1450
1149,Order_No_15899
1468,Order_No_13058
1783,Order_No_49
992,Order_No_24843
1136,Order_No_10691
3375,Order_No_24401
1536,Order_No_9570
1531,Order_No_4511
1777,Order_No_15911
1913,Order_No_17096
2115,Order_No_13729
2075,Order_No_22076
1480,Order_No_13489
1038,Order_No_15868
1208,Order_No_21770
1804,Order_No_12416
2125,Order_No_9183
2729,Order_No_2002
1867,Order_No_27547
1421,Order_No_24709
312,Order_No_10104
764,Order_No_6973
1233,Order_No_12058
1506,Order_No_19895
2266,Order_No_24466
1827,Order_No_18247
735,Order_No_26025
1835,Order_No_24171
2899,Order_No_3264
1763,Order_No_19825
2354,Order_No_5111
2319,Order_No_5595
472,Order_No_24374
2397,Order_No_11745
3210,Order_No_5678
3252,Order_No_12683
1813,Order_No_19910
2407,Order_No_15837
2135,Order_No_17893
1620,Order_No_20919
1361,Order_No_15411
452,Order_No_2192
1005,Order_No_15246
1683,Order_No_25189
2690,Order_No_20372
-284,Order_No_25134
924,Order_No_19460
2293,Order_No_15260
1488,Order_No_13191
957,Order_No_9671
1940,Order_No_5803
3553,Order_No_26244
1395,Order_No_16887
2157,Order_No_25769
2232,Order_No_21533
